link_id,from_id,to_id,from,to,mode,distance_km,cost,emission,data_sources
L1,C1,C2,Albert Park (Melbourne-Australia),Shanghai International Circuit (China),Air,8078.5,484710.0,242355.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L2,C1,C2,Albert Park (Melbourne-Australia),Shanghai International Circuit (China),Sea,8078.5,8078.5,6058.88,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L3,C1,C3,Albert Park (Melbourne-Australia),Suzuka Circuit (Japan),Air,8129.7,487782.0,243891.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L4,C1,C3,Albert Park (Melbourne-Australia),Suzuka Circuit (Japan),Sea,8129.7,8129.7,6097.27,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L5,C1,C4,Albert Park (Melbourne-Australia),Bahrain International Circuit (Sakhir),Air,12112.6,726756.0,363378.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L6,C1,C4,Albert Park (Melbourne-Australia),Bahrain International Circuit (Sakhir),Sea,12112.6,12112.6,9084.45,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L7,C1,C5,Albert Park (Melbourne-Australia),Jeddah Corniche Circuit (Saudi Arabia),Air,12817.1,769026.0,384513.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L8,C1,C5,Albert Park (Melbourne-Australia),Jeddah Corniche Circuit (Saudi Arabia),Sea,12817.1,12817.1,9612.82,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L9,C1,C6,Albert Park (Melbourne-Australia),Miami International Autodrome (USA),Air,15594.5,935670.0,467835.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L10,C1,C6,Albert Park (Melbourne-Australia),Miami International Autodrome (USA),Sea,15594.5,15594.5,11695.88,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L11,C1,C7,Albert Park (Melbourne-Australia),Imola (Autodromo Enzo e Dino Ferrari),Air,16086.3,965178.0,482589.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L12,C1,C7,Albert Park (Melbourne-Australia),Imola (Autodromo Enzo e Dino Ferrari),Sea,16086.3,16086.3,12064.73,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L13,C1,C8,Albert Park (Melbourne-Australia),Circuit de Monaco (Monaco),Air,16422.2,985332.0,492666.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L14,C1,C8,Albert Park (Melbourne-Australia),Circuit de Monaco (Monaco),Sea,16422.2,16422.2,12316.65,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L15,C1,C9,Albert Park (Melbourne-Australia),Circuit de Barcelona-Catalunya (Spain),Air,16823.3,1009398.0,504699.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L16,C1,C9,Albert Park (Melbourne-Australia),Circuit de Barcelona-Catalunya (Spain),Sea,16823.3,16823.3,12617.48,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L17,C1,C10,Albert Park (Melbourne-Australia),Circuit Gilles Villeneuve (Montreal-Canada),Air,16740.8,1004448.0,502224.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L18,C1,C10,Albert Park (Melbourne-Australia),Circuit Gilles Villeneuve (Montreal-Canada),Sea,16740.8,16740.8,12555.6,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L19,C1,C11,Albert Park (Melbourne-Australia),Red Bull Ring (Spielberg-Austria),Air,15878.7,952722.0,476361.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L20,C1,C11,Albert Park (Melbourne-Australia),Red Bull Ring (Spielberg-Austria),Sea,15878.7,15878.7,11909.02,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L21,C1,C12,Albert Park (Melbourne-Australia),Silverstone Circuit (UK),Air,16947.2,1016832.0,508416.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L22,C1,C12,Albert Park (Melbourne-Australia),Silverstone Circuit (UK),Sea,16947.2,16947.2,12710.4,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L23,C1,C13,Albert Park (Melbourne-Australia),Spa-Francorchamps (Belgium),Air,16511.7,990702.0,495351.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L24,C1,C13,Albert Park (Melbourne-Australia),Spa-Francorchamps (Belgium),Sea,16511.7,16511.7,12383.77,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L25,C1,C14,Albert Park (Melbourne-Australia),Hungaroring (Budapest-Hungary),Air,15546.4,932784.0,466392.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L26,C1,C14,Albert Park (Melbourne-Australia),Hungaroring (Budapest-Hungary),Sea,15546.4,15546.4,11659.8,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
L27,C1,C15,Albert Park (Melbourne-Australia),Circuit Zandvoort (Netherlands),Air,16572.6,994356.0,497178.0,DEFRA conversion factors (GHG): https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2023; F1 circuits list / calendar: https://en.wikipedia.org/wiki/List_of_Formula_One_circuits and https://www.formula1.com/en/racing/2025
